tradingdate,stockcode,weight
2021-12-31,600519.SH,0.050652638
2021-12-31,600036.SH,0.028481378
2021-12-31,601166.SH,0.023133773
2021-12-31,300059.SZ,0.021975018
2021-12-31,600887.SH,0.020865653
2021-12-31,300750.SZ,0.020817633
2021-12-31,601318.SH,0.017764178
2021-12-31,000858.SZ,0.017715893
2021-12-31,600809.SH,0.017335292
2021-12-31,002415.SZ,0.01421904
2021-12-31,603259.SH,0.013183696
2021-12-31,601211.SH,0.013047129
2021-12-31,000568.SZ,0.012118813
2021-12-31,600438.SH,0.011882343
2021-12-31,600690.SH,0.011796675
2021-12-31,000651.SZ,0.011793823
2021-12-31,601012.SH,0.011665594
2021-12-31,002142.SZ,0.011538107
2021-12-31,603501.SH,0.011399422
2021-12-31,002027.SZ,0.011324228
2021-12-31,603833.SH,0.010427017
2021-12-31,000333.SZ,0.010344644
2021-12-31,300014.SZ,0.010134938
2021-12-31,601668.SH,0.010010085
2021-12-31,000725.SZ,0.009606793
2021-12-31,000001.SZ,0.009425011
2021-12-31,600030.SH,0.008917955
2021-12-31,600111.SH,0.008629934
2021-12-31,300124.SZ,0.008443777
2021-12-31,601009.SH,0.008316246
2021-12-31,600760.SH,0.008233681
2021-12-31,600104.SH,0.008181378
2021-12-31,300760.SZ,0.0081266
2021-12-31,002241.SZ,0.008036801
2021-12-31,002129.SZ,0.007999541
2021-12-31,601888.SH,0.00788244
2021-12-31,000063.SZ,0.007551302
2021-12-31,603986.SH,0.007321909
2021-12-31,002594.SZ,0.007278783
2021-12-31,300122.SZ,0.007260112
2021-12-31,600309.SH,0.007211561
2021-12-31,000661.SZ,0.007210698
2021-12-31,002475.SZ,0.006909817
2021-12-31,601818.SH,0.006688169
2021-12-31,600926.SH,0.006640938
2021-12-31,600132.SH,0.006637701
2021-12-31,601377.SH,0.006508858
2021-12-31,601857.SH,0.006463023
2021-12-31,000776.SZ,0.006422011
2021-12-31,002230.SZ,0.006385079
2021-12-31,600900.SH,0.006268384
2021-12-31,601186.SH,0.0060246
2021-12-31,601390.SH,0.005915636
2021-12-31,600426.SH,0.005792038
2021-12-31,600999.SH,0.005704457
2021-12-31,300450.SZ,0.005647049
2021-12-31,002812.SZ,0.005612571
2021-12-31,600018.SH,0.005577233
2021-12-31,601919.SH,0.005563306
2021-12-31,300015.SZ,0.005458325
2021-12-31,000069.SZ,0.005447585
2021-12-31,601636.SH,0.005346646
2021-12-31,600919.SH,0.005168505
2021-12-31,300274.SZ,0.005096735
2021-12-31,688981.SH,0.005088652
2021-12-31,000830.SZ,0.004889992
2021-12-31,600019.SH,0.0048876
2021-12-31,600436.SH,0.004840116
2021-12-31,000425.SZ,0.004673971
2021-12-31,603799.SH,0.00464486
2021-12-31,000799.SZ,0.00459783
2021-12-31,600057.SH,0.004586106
2021-12-31,600845.SH,0.004374176
2021-12-31,601688.SH,0.004246488
2021-12-31,600183.SH,0.004191827
2021-12-31,002709.SZ,0.004181974
2021-12-31,603882.SH,0.00415264
2021-12-31,002821.SZ,0.004000112
2021-12-31,601628.SH,0.003980776
2021-12-31,601155.SH,0.003783796
2021-12-31,601336.SH,0.003546697
2021-12-31,600176.SH,0.003518747
2021-12-31,600584.SH,0.003516328
2021-12-31,603486.SH,0.003516142
2021-12-31,002064.SZ,0.003473215
2021-12-31,002008.SZ,0.003465006
2021-12-31,601881.SH,0.003401167
2021-12-31,300896.SZ,0.003395912
2021-12-31,002410.SZ,0.003323463
2021-12-31,002371.SZ,0.003320129
2021-12-31,601899.SH,0.003309833
2021-12-31,000100.SZ,0.003228598
2021-12-31,002179.SZ,0.003114116
2021-12-31,688111.SH,0.003077419
2021-12-31,601100.SH,0.003072426
2021-12-31,002049.SZ,0.002997041
2021-12-31,002460.SZ,0.002972503
2021-12-31,688036.SH,0.002766249
2021-12-31,000933.SZ,0.00273507
2021-12-31,300223.SZ,0.002724924
2021-12-31,600958.SH,0.002698604
2021-12-31,600089.SH,0.002690698
2021-12-31,600606.SH,0.002659058
2021-12-31,600763.SH,0.002657041
2021-12-31,300595.SZ,0.002637581
2021-12-31,300347.SZ,0.002609431
2021-12-31,600741.SH,0.002515786
2021-12-31,002555.SZ,0.002472792
2021-12-31,300755.SZ,0.002471902
2021-12-31,603517.SH,0.002464846
2021-12-31,600276.SH,0.002452235
2021-12-31,002648.SZ,0.002435971
2021-12-31,600256.SH,0.002400942
2021-12-31,300413.SZ,0.002368758
2021-12-31,300759.SZ,0.002358339
2021-12-31,002833.SZ,0.002219373
2021-12-31,600487.SH,0.00208302
2021-12-31,603288.SH,0.002056472
2021-12-31,601607.SH,0.002031056
2021-12-31,300529.SZ,0.002001374
2021-12-31,002271.SZ,0.001940515
2021-12-31,603129.SH,0.001865739
2021-12-31,603599.SH,0.001822161
2021-12-31,000423.SZ,0.001795626
2021-12-31,688357.SH,0.001788278
2021-12-31,600141.SH,0.001753184
2021-12-31,600008.SH,0.001747876
2021-12-31,300316.SZ,0.001721101
2021-12-31,600456.SH,0.001713923
2021-12-31,002541.SZ,0.001703264
2021-12-31,688363.SH,0.001689552
2021-12-31,688099.SH,0.001683734
2021-12-31,600600.SH,0.001676136
2021-12-31,688012.SH,0.001675098
2021-12-31,600031.SH,0.001659945
2021-12-31,688368.SH,0.001644914
2021-12-31,600383.SH,0.001633354
2021-12-31,002472.SZ,0.001602352
2021-12-31,300748.SZ,0.001591986
2021-12-31,300196.SZ,0.001586062
2021-12-31,603678.SH,0.001552429
2021-12-31,300019.SZ,0.001522607
2021-12-31,600765.SH,0.001499551
2021-12-31,002601.SZ,0.001498649
2021-12-31,601360.SH,0.001476613
2021-12-31,002311.SZ,0.001424075
2021-12-31,000733.SZ,0.001415941
2021-12-31,300012.SZ,0.001403493
2021-12-31,000768.SZ,0.001396707
2021-12-31,002185.SZ,0.00138383
2021-12-31,000581.SZ,0.001378511
2021-12-31,601677.SH,0.001349717
