tradingdate,stockcode,weight
2021/12/31,300223.SZ,0.011316446
2021/12/31,000887.SZ,0.010943862
2021/12/31,600141.SH,0.010562474
2021/12/31,002396.SZ,0.010489589
2021/12/31,600563.SH,0.010459691
2021/12/31,600008.SH,0.010459389
2021/12/31,000830.SZ,0.010301965
2021/12/31,601636.SH,0.010301494
2021/12/31,300037.SZ,0.010297268
2021/12/31,601615.SH,0.010151128
2021/12/31,002048.SZ,0.009884539
2021/12/31,600380.SH,0.009714387
2021/12/31,601689.SH,0.009499247
2021/12/31,600256.SH,0.009482461
2021/12/31,002013.SZ,0.009267891
2021/12/31,688099.SH,0.008845527
2021/12/31,603444.SH,0.008761092
2021/12/31,000039.SZ,0.008388463
2021/12/31,002572.SZ,0.008365091
2021/12/31,300244.SZ,0.007735126
2021/12/31,300168.SZ,0.007586622
2021/12/31,601598.SH,0.00739644
2021/12/31,600765.SH,0.007132405
2021/12/31,600201.SH,0.007127079
2021/12/31,000581.SZ,0.007034542
2021/12/31,002128.SZ,0.007014111
2021/12/31,600373.SH,0.006982941
2021/12/31,603225.SH,0.006911273
2021/12/31,000060.SZ,0.006892174
2021/12/31,002648.SZ,0.006848341
2021/12/31,600597.SH,0.006836146
2021/12/31,300088.SZ,0.006729453
2021/12/31,002709.SZ,0.006721548
2021/12/31,600195.SH,0.00659762
2021/12/31,600967.SH,0.006282878
2021/12/31,603198.SH,0.00628254
2021/12/31,002156.SZ,0.006278519
2021/12/31,002185.SZ,0.006216139
2021/12/31,600884.SH,0.006111852
2021/12/31,600282.SH,0.006059295
2021/12/31,000519.SZ,0.005855173
2021/12/31,600718.SH,0.005833564
2021/12/31,601699.SH,0.005795834
2021/12/31,000750.SZ,0.005736159
2021/12/31,300750.SZ,0.005694649
2021/12/31,600885.SH,0.005360237
2021/12/31,603613.SH,0.005289027
2021/12/31,300363.SZ,0.005273049
2021/12/31,000046.SZ,0.005208744
2021/12/31,601168.SH,0.005191375
2021/12/31,600487.SH,0.005190179
2021/12/31,601128.SH,0.005181939
2021/12/31,300133.SZ,0.00517882
2021/12/31,000629.SZ,0.005121539
2021/12/31,600089.SH,0.005115932
2021/12/31,002867.SZ,0.005102309
2021/12/31,603456.SH,0.005069394
2021/12/31,605358.SH,0.005065416
2021/12/31,600325.SH,0.005059253
2021/12/31,000671.SZ,0.005020303
2021/12/31,002281.SZ,0.005004215
2021/12/31,002191.SZ,0.004925618
2021/12/31,600760.SH,0.004869461
2021/12/31,000050.SZ,0.004831505
2021/12/31,000961.SZ,0.004826304
2021/12/31,002372.SZ,0.004743382
2021/12/31,002183.SZ,0.004687051
2021/12/31,300146.SZ,0.00466433
2021/12/31,600497.SH,0.004579462
2021/12/31,600549.SH,0.004535884
2021/12/31,000717.SZ,0.004481237
2021/12/31,000932.SZ,0.004478821
2021/12/31,002110.SZ,0.004465106
2021/12/31,600566.SH,0.004443231
2021/12/31,600782.SH,0.004428761
2021/12/31,002223.SZ,0.004399224
2021/12/31,600998.SH,0.00439073
2021/12/31,600155.SH,0.004353103
2021/12/31,600066.SH,0.004312349
2021/12/31,000959.SZ,0.004253663
2021/12/31,300009.SZ,0.004252511
2021/12/31,002268.SZ,0.004235629
2021/12/31,603712.SH,0.00422139
2021/12/31,002384.SZ,0.004155959
2021/12/31,601717.SH,0.004016661
2021/12/31,603290.SH,0.003974293
